#,班級方案,費用,"課程 / 點數",類型,"時間 ( 天)",適用課程,標籤,套裝課程,轉讓班級方案,已售完
1.,自由練習（一位家長）,250,1,classes,180,1,,No,No,No
2.,現場報名禮-自由練習*2（價值500元）,0,2,classes,365,2,,No,No,No
3.,首波現場報名禮-水上世界入場券張（價值1978元）,0,2,classes,730,1,,No,No,No
4.,『親子游泳體驗課』0-5個月漂漂班-藍汐老師,1895,1,classes,90,1,,No,No,No
5.,『親子游泳體驗課』0-5個月漂漂班-小愛老師,1695,1,classes,90,1,,No,No,No
6.,『親子游泳體驗課』5-12個月寶寶班,1595,1,classes,90,1,"""『體驗課』5-12M""",No,No,No
7.,『親子游泳體驗課』1-2歲幼幼班,1595,1,classes,90,1,,No,No,No
8.,『親子游泳體驗課』2-3歲幼童班,1595,1,classes,90,1,,No,No,No
9.,『親子游泳體驗課』3-5歲大童班,1595,1,classes,90,1,,No,No,No
10.,"『游泳體驗課』5-10歲Aqua Kids",1595,1,classes,90,1,,No,No,Yes
11.,"『學期課程』週二10:30-11:00(11堂課-開課日期待定) 2-3歲親子共游幼童班-YOYO老師",19195,11,classes,180,1,"""『學期課程』5-12個月, YOYO老師""",Yes,No,No
12.,"『學期課程』週二11:00-11:30(11堂課-開課日待定) 1-2歲親子共游幼幼班-YOYO老師",19195,11,classes,180,1,"""YOYO老師, 『學期課程』1-2Y""",Yes,No,No
13.,"『學期課程』週日10:00-10:30(12堂課-開課日待定) 0-5個月親子共游漂漂班-藍汐老師",22140,12,classes,180,1,"""藍汐老師, 『學期課程』0-5M""",Yes,No,No
14.,"『學期課程』週日10:30-11:00(12堂課-開課日待定) 5-12個月親子共游寶寶班-藍汐老師",22140,12,classes,180,1,"""『學期課程』5-12個月, 藍汐老師""",Yes,No,Yes
15.,"『學期課程』週日11:00-11:30(8/25~11/10共12堂課) 1-2歲親子共游幼幼班-藍汐老師",22140,12,classes,180,1,"""『學期課程』1-2Y, 藍汐老師""",Yes,No,Yes
16.,"『學期課程』週日11:30-12:00(8/25~11/10共12堂課) 2-3歲親子共游幼童班-藍汐老師",22140,12,classes,180,1,"""『學期課程』2-3Y, 藍汐老師""",Yes,No,Yes
17.,"『學期課程』週日13:00-13:30(12堂課-開課日待定) 1-2歲親子共游幼幼班-藍汐老師",22140,12,classes,180,1,"""『學期課程』1-2Y, 藍汐老師""",Yes,No,Yes
18.,"『學期課程』週日13:30-14:00(12堂課-開課日待定) 5-12個月親子共游寶寶班-藍汐老師",22140,12,classes,180,1,"""『學期課程』5-12個月, 藍汐老師""",Yes,No,No
19.,"『學期課程』週日14:00-14:30(9/22~12/8共12堂課) 5-12個月親子共游寶寶班-藍汐老師",22140,12,classes,180,1,"""『學期課程』5-12個月, 藍汐老師""",Yes,No,No
20.,"『學期課程』週日14:30-15:00(9/22~12/8共12堂課) 1-2歲親子共游幼幼班-藍汐老師",22140,12,classes,180,1,"""『學期課程』1-2Y, 藍汐老師""",Yes,No,No
21.,"『學期課程』週日15:00-15:30(12堂課-開課日待定) 2-3歲親子共游幼童班-藍汐老師",22140,12,classes,180,1,,Yes,No,No
22.,"『慈善體驗課』9/29週日 13:15-13:45  5-12個月寶寶班-皓雲老師",1595,1,classes,90,1,,Yes,No,Yes
23.,"『慈善體驗課』9/29週日 13:30-14:00  2-3歲幼童-秋蘋老師",1595,1,classes,90,1,,Yes,No,Yes
